region,planting_code,planting_label,scenario,cultivar_id,cultivar_label,n_years,n_sites,yield_mean_kg_ha,yield_sd_across_years,irrigation_mean_mm,seasonal_precip_mean_mm,best_yield_mean_kg_ha,yield_penalty_percent
Northwest,MAY01,May 01,Irrigated,990003,Short Season,38,499,4659.994937242907,892.5405162675991,216.85476215589074,356.1004640860669,5137.421949161481,9.293124385013744
Northwest,MAY01,May 01,Irrigated,990004,V. Short Season,38,499,2906.298017086805,731.9906140582566,131.52621031536756,314.18278662588335,3241.861776183947,10.350958253751951
Northwest,MAY01,May 01,Rainfed,990001,Long Season,38,499,2166.5149773230673,1526.773956726217,0.0,441.4519038076152,2376.3952642126355,8.831876163459166
Northwest,MAY01,May 01,Rainfed,990002,Medium Season,38,499,2860.122402700137,1846.3418786656564,0.0,400.87200717223925,2947.381394367683,2.960559900197977
Northwest,MAY01,May 01,Rainfed,990003,Short Season,38,499,2307.600569560173,1203.4917003255268,0.0,354.248496993988,2406.7317793481698,4.118913899697004
Northwest,MAY01,May 01,Rainfed,990004,V. Short Season,38,499,2298.5657103681046,836.7542414452508,0.0,313.52330977744964,2373.990876489822,3.1771464190814713
Northwest,MAY10,May 10,Irrigated,990001,Long Season,38,499,7558.478325071194,1372.952794759741,388.2145870688746,458.88476953907815,7927.752715958231,4.657995829558398
Northwest,MAY10,May 10,Irrigated,990002,Medium Season,38,499,8326.08981120135,1654.0853149384734,300.06196603733787,414.7403227507647,8734.444626094293,4.675223581737268
Northwest,MAY10,May 10,Irrigated,990003,Short Season,38,499,4800.272228667862,911.1724540095273,222.86546777766057,371.0271068452695,5137.421949161481,6.5626246749821355
Northwest,MAY10,May 10,Irrigated,990004,V. Short Season,38,499,3042.1394895053268,749.574378039734,143.7480223605105,328.8670498892522,3241.861776183947,6.160728015792109
Northwest,MAY10,May 10,Rainfed,990001,Long Season,38,499,2283.8937875751503,1533.9590046947028,0.0,450.4451007277713,2376.3952642126355,3.8925122445122136
Northwest,MAY10,May 10,Rainfed,990002,Medium Season,38,499,2947.381394367683,2091.727863610248,0.0,413.34189431494565,2947.381394367683,0.0
Northwest,MAY10,May 10,Rainfed,990003,Short Season,38,499,2341.243434236895,1340.271285953878,0.0,370.2109482122139,2406.7317793481698,2.721048754714629
Northwest,MAY10,May 10,Rainfed,990004,V. Short Season,38,499,2333.1994515346482,931.465868316138,0.0,328.9461027317794,2373.990876489822,1.7182637624744264
Northwest,MAY20,May 20,Irrigated,990001,Long Season,38,499,7927.752715958231,1333.6707887745422,389.52378441092714,471.95839046514084,7927.752715958231,0.0
Northwest,MAY20,May 20,Irrigated,990002,Medium Season,38,499,8734.444626094293,1765.3136520758337,305.76284147241853,427.28203775973,8734.444626094293,0.0
Northwest,MAY20,May 20,Irrigated,990003,Short Season,38,499,5137.421949161481,1113.77255219538,228.58348275498366,394.01397531905917,5137.421949161481,0.0
Northwest,MAY20,May 20,Irrigated,990004,V. Short Season,38,499,3241.861776183947,732.8348031242059,154.75951903807615,349.0450374433077,3241.861776183947,0.0
Northwest,MAY20,May 20,Rainfed,990001,Long Season,38,499,2376.3952642126355,1734.6390462491493,0.0,459.7559329184685,2376.3952642126355,0.0
Northwest,MAY20,May 20,Rainfed,990002,Medium Season,38,499,2906.573462714903,2103.0511740886323,0.0,426.0054319164645,2947.381394367683,1.3845487296201917
Northwest,MAY20,May 20,Rainfed,990003,Short Season,38,499,2406.7317793481698,1507.1107705831869,0.0,393.61807826178676,2406.7317793481698,0.0
Northwest,MAY20,May 20,Rainfed,990004,V. Short Season,38,499,2373.990876489822,941.7834149171339,0.0,348.7775551102204,2373.990876489822,0.0
Southcentral,APR01,Apr 01,Irrigated,990001,Long Season,38,507,5453.94664175231,1443.019348165354,290.921831205232,446.06254541679647,6361.080712135368,14.260691090626644
Southcentral,APR01,Apr 01,Irrigated,990002,Medium Season,38,507,6948.838420014533,1307.3340397456116,217.38814491850925,385.520554344441,6955.459047025849,0.09518605409871762
Southcentral,APR01,Apr 01,Irrigated,990003,Short Season,38,507,4216.835409529742,717.7405244931383,136.94072459254645,335.70087200249145,4229.4084397383995,0.297276330432521
Southcentral,APR01,Apr 01,Irrigated,990004,V. Short Season,38,507,2541.9527146268038,769.637825534437,75.82399044949652,288.4826637599917,2923.506903353057,13.0512497948487
Southcentral,APR01,Apr 01,Rainfed,990001,Long Season,38,507,2840.6788124156546,2011.1392479989981,0.0,443.42894217792997,3202.951313194228,11.31058406308673
Southcentral,APR01,Apr 01,Rainfed,990002,Medium Season,38,507,4292.022371016298,2378.5278346553487,0.0,384.1405584968338,4419.292691788643,2.8798798732843034
Southcentral,APR01,Apr 01,Rainfed,990003,Short Season,38,507,3189.739385445863,1170.3174301177141,0.0,335.69879580608324,3339.539811066127,4.485660722590444
Southcentral,APR01,Apr 01,Rainfed,990004,V. Short Season,38,507,2191.0111076507837,657.4238237693924,0.0,288.46024083878336,2691.10910412125,18.583341556260212
Southcentral,APR10,Apr 10,Irrigated,990001,Long Season,38,507,5427.109571265442,1474.4334207489062,284.3338004775252,554.9806913734039,6361.080712135368,14.682585917957935
Southcentral,APR10,Apr 10,Irrigated,990002,Medium Season,38,507,6897.983494238555,1398.4966895948342,211.647461849891,493.6910100695526,6955.459047025849,0.8263373042483872
