region,planting_code,planting_label,cultivar_id,cultivar_label,n_years,n_sites,rainfed_yield_mean_kg_ha,irrigated_yield_mean_kg_ha,irrigation_mean_mm,incremental_benefit_mean_kg_ha,incremental_iwue_mean_kg_m3,gross_irrigation_productivity_mean_kg_m3,yield_gap_mean_percent,rainfed_seasonal_precip_mean_mm
Northcentral,MAY01,May 01,990003,Short Season,38,512,3237.0057565789475,4204.680612664473,158.77107319078948,967.6748560855264,0.5206503640091633,3.487940269891498,25.541896325422677,458.7718441611842
Northcentral,MAY01,May 01,990004,V. Short Season,38,512,2594.8449835526317,2744.9953741776317,96.83002672697368,150.150390625,0.094566250097901,3.6167262662678836,5.486559887963101,415.51639597039474
Northcentral,MAY10,May 10,990001,Long Season,38,512,3224.6122018914475,6669.3661081414475,280.9583162006579,3444.75390625,1.23708115079693,3.489728575398809,55.608616348497904,591.7793996710526
Northcentral,MAY10,May 10,990002,Medium Season,38,512,4124.673879523027,7392.204615542763,222.50719572368422,3267.5307360197367,1.4039497111815216,4.859232433166655,47.89514052516292,528.1385690789474
Northcentral,MAY10,May 10,990003,Short Season,38,512,3091.127569901316,4200.271330180921,166.8752569901316,1109.1437602796052,0.5578508141449651,3.4190620716893902,29.423232761153688,475.68868215460526
Northcentral,MAY10,May 10,990004,V. Short Season,38,512,2697.9737356085525,2924.1726973684213,106.89633018092105,226.1989617598684,0.15662376518652218,3.4861938738596017,8.446322823588458,432.0727282072368
Northcentral,MAY20,May 20,990001,Long Season,38,512,3563.9499897203946,7201.0372121710525,281.7691200657895,3637.087222450658,1.270329483982674,3.9004212708254866,53.94786941951697,609.7348889802631
Northcentral,MAY20,May 20,990002,Medium Season,38,512,4326.049547697368,7848.225020559211,226.806640625,3522.175472861842,1.4935920927027302,5.210794241953268,48.858325904511595,549.7430612664474
Northcentral,MAY20,May 20,990003,Short Season,38,512,3091.227847450658,4456.744500411184,175.5602384868421,1365.5166529605262,0.6817018816595503,3.6376791417292957,34.263929066203964,500.10829564144734
Northcentral,MAY20,May 20,990004,V. Short Season,38,512,2629.682257401316,2923.5810546875,118.53926809210526,293.8987972861842,0.17724795898660003,3.3281793445869052,11.47981228032969,450.95811060855266
