planting_code,planting_label,region,scenario,cultivar_id,maturity_class,maturity_class_long,stage,stage_label,threshold,threshold_label,n_sites,valid_site_years,event_site_years,equal_site_mean_probability_pct,mean_exposure_days,mean_exceedance_degree_c_days,mean_longest_consecutive_run_days,pooled_probability_pct
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,reproductive,Anthesis to maturity,tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,vegetative,Emergence to pre-anthesis,tmax_ge30,Tmax ≥ 30°C,512,19456,15922,81.8359375,3.138671875,7.188348067434211,,81.8359375
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,vegetative,Emergence to pre-anthesis,tmax_ge35,Tmax ≥ 35°C,512,19456,4386,22.543174342105264,0.3844058388157895,0.4795024671052631,0.32719983552631576,22.543174342105264
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,vegetative,Emergence to pre-anthesis,tmax_ge38,Tmax ≥ 38°C,512,19456,526,2.703536184210526,0.03253495065789473,0.01611328125000002,0.03253495065789473,2.703536184210526
A1,April 1,Northcentral,Irrigated,990004,VSS,Very Short Season,vegetative,Emergence to pre-anthesis,tmin_le0,Tmin ≤ 0°C,512,19456,5190,26.675575657894736,0.5582853618421052,,,26.675575657894736
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,establishment,Planting to emergence,tmax_ge30,Tmax ≥ 30°C,512,19456,4906,25.215871710526315,0.30535567434210525,0.36242804276315793,,25.215871710526315
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,establishment,Planting to emergence,tmax_ge35,Tmax ≥ 35°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,establishment,Planting to emergence,tmax_ge38,Tmax ≥ 38°C,512,19456,0,0.0,0.0,0.0,0.0,0.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,establishment,Planting to emergence,tmin_le0,Tmin ≤ 0°C,512,19456,15074,77.47738486842105,4.1957750822368425,,,77.47738486842105
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge30,Tmax ≥ 30°C,512,19456,19456,100.0,11.645764802631579,58.240352590460525,,100.0
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge35,Tmax ≥ 35°C,512,19456,16928,87.00657894736842,5.306640625,15.8970703125,3.7345805921052633,87.00657894736842
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmax_ge38,Tmax ≥ 38°C,512,19456,10685,54.918791118421055,2.2381270559210527,4.924532277960527,1.6555818256578947,54.918791118421055
A1,April 1,Northcentral,Rainfed,990001,LS,Long Season,flowering15,Flowering/silking proxy (ADAT ±7 d),tmin_le0,Tmin ≤ 0°C,512,19456,0,0.0,0.0,,,0.0
