region,scenario,cultivar_id,maturity_class,planting_code,planting_label,n_years,mean_yield_kg_ha,mean_flowering_edd35,flowering_ge35_site_pct,flowering_ge38_site_pct,heat_associated_penalty_kg_ha,heat_associated_penalty_pct,zeroheat_sensitivity_penalty_kg_ha,best_mean_yield_kg_ha,total_planting_date_penalty_kg_ha,total_planting_date_penalty_pct,heat_component_fraction_of_total_penalty
Northcentral,Irrigated,990004,VSS,A10,April 10,38,2359.460577713816,0.7865799753289474,28.587582236842106,6.064967105263158,-5.88117974626278,-0.24116109715836323,-5.88117974626278,2924.1726973684213,564.7121196546054,19.31185939061712,-0.01041447410383167
Northcentral,Irrigated,990004,VSS,A20,April 20,38,2763.6537314967104,1.2545384457236841,34.102590460526315,8.367598684210527,-9.38005839115411,-0.3404284868900797,-9.38005839115411,2924.1726973684213,160.51896587171086,5.489380501232647,-0.058435826197950916
Northcentral,Irrigated,990004,VSS,M1,May 1,38,2744.9953741776317,2.027934827302632,44.76768092105263,15.260074013157896,-15.162665726502112,-0.6083819425025644,-15.162665726502112,2924.1726973684213,179.1773231907896,6.127453530772597,-0.08462379868437242
Northcentral,Irrigated,990004,VSS,M10,May 10,38,2924.1726973684213,3.1573087993421054,61.651932565789465,20.065789473684212,-23.606881875708243,-0.8666271021133669,-23.606881875708243,2924.1726973684213,0.0,0.0,
Northcentral,Irrigated,990004,VSS,M20,May 20,38,2923.5810546875,6.7250925164473685,74.62479440789474,33.63486842105263,-50.28284362684552,-1.9923150693118246,-50.28284362684552,2924.1726973684213,0.591642680921268,0.020232822823826744,-84.98853319464428
Northcentral,Rainfed,990001,LS,A1,April 1,38,3023.9161698190787,15.8970703125,87.00657894736842,54.91879111842105,398.38009558056086,21.202061186099954,398.38009558056086,3563.9499897203946,540.0338199013158,15.152676705872732,0.7376947163297285
Northcentral,Rainfed,990001,LS,A10,April 10,38,3016.6950555098683,17.4024472235922,88.29152960526315,57.373882182355494,436.104794907966,22.588756972055112,436.104794907966,3563.9499897203946,547.2549342105262,15.35529218392485,0.7968951354218373
Northcentral,Rainfed,990001,LS,A20,April 20,38,3127.856805098684,19.338033619390817,91.123464333148,66.01441847356067,484.6105307576945,22.29471881391775,484.6105307576945,3563.9499897203946,436.0931846217104,12.236231874171825,1.1112545388162178
Northcentral,Rainfed,990001,LS,M1,May 1,38,3183.4145764802633,20.777626439144736,92.42393092105263,70.47183388157895,520.686682769157,22.88006999012573,520.686682769157,3563.9499897203946,380.5354132401312,10.677349972298172,1.3683002019067942
Northcentral,Rainfed,990001,LS,M10,May 10,38,3224.6122018914475,20.60433799342105,91.6272615131579,73.40666118421053,516.3440796219516,21.924933687637786,516.3440796219516,3563.9499897203946,339.33778782894706,9.521395889608693,1.5216226961502726
Northcentral,Rainfed,990001,LS,M20,May 20,38,3563.9499897203946,19.092804276315793,87.45374177631578,68.31311677631578,478.4650909242576,17.487267772147273,478.4650909242576,3563.9499897203946,0.0,0.0,
Northcentral,Rainfed,990002,MS,A1,April 1,38,4089.1806126644738,6.20891755756579,74.55283717105263,31.4453125,175.95365293312562,7.532805698438525,175.95365293312562,4326.049547697368,236.86893503289457,5.475409664666765,0.7428312746400895
Northcentral,Rainfed,990002,MS,A10,April 10,38,4225.355725740132,8.117651683730076,80.46728420064939,39.046784683568276,230.0450044228036,8.536538079957726,230.0450044228036,4326.049547697368,100.69382195723665,2.327616011953286,2.284598994767531
Northcentral,Rainfed,990002,MS,A20,April 20,38,4064.0632195723683,10.392472758904107,79.50268428002224,47.162828947368425,294.51084315155197,13.038636096845904,294.51084315155197,4326.049547697368,261.986328125,6.056017741739638,1.124145848599526
Northcentral,Rainfed,990002,MS,M1,May 1,38,4067.1772717927633,15.069228001644738,83.86615953947368,56.91817434210527,427.0447608924369,17.662732580592923,427.0447608924369,4326.049547697368,258.872275904605,5.984034002624756,1.6496349769405352
Northcentral,Rainfed,990002,MS,M10,May 10,38,4124.673879523027,17.555391652960527,89.51994243421053,60.45949835526315,497.4998075543986,19.080570287296066,497.4998075543986,4326.049547697368,201.37566817434163,4.654955195358965,2.4705060550000835
Northcentral,Rainfed,990002,MS,M20,May 20,38,4326.049547697368,19.299198190789475,92.4085115131579,68.61122532894737,546.9172990084102,18.963758594990235,546.9172990084102,4326.049547697368,0.0,0.0,
